Title,Source,Posted,Link,Description
California officials warn against price gouging as rents soar in fire-stricken...,KOIN News 6 Portland,16 hours ago · ,https://www.koin.com/news/national/ap-california-officials-warn-against-price-gouging-as-rents-soar-in-fire-stricken-los-angeles/,"Southern California’s expensive housing market is going to get a lot more competitive after deadly firestorms torched more than 12,000 homes and other structures in the Los Angeles area, leav… "
L.A.'s fire chief generated controversy — and fierce loyalty — while the city...,LA Times ·  via AOL,1 day ago · ,https://www.aol.com/news/l-fire-chief-generated-controversy-110046817.html,Critics of Los Angeles Fire Chief Kristin Crowley — a gay woman leading an overwhelmingly male... 
Los Angeles fires: Incoming Santa Ana winds raise concerns,KTVU ·  via Yahoo News,5 days ago · ,https://www.yahoo.com/news/los-angeles-fires-incoming-santa-033614082.html?fr=sycsrp_catchall,"Fire and other first responders in the Los Angeles area warned of the return of Santa Ana winds,... "
"Here’s How Nike, Deckers, Skechers, Two Ten, Soles4Souls And More Are Helping LA...",Footwear News ·  via Yahoo News,2 days ago · ,https://www.yahoo.com/news/shoe-industry-helping-la-fire-224852812.html?fr=sycsrp_catchall,"...commitment from the Nike Foundation to the American Red Cross, the company said it has committed... "
Los Angeles couple's harrowing escape as Eaton Fire approached their home caught...,Fox News ·  via AOL,5 days ago · ,https://www.aol.com/los-angeles-couples-harrowing-escape-192627673.html,"The Los Angeles wildfires have terrorized residents for a week, have killed at least 24 people and... "
LA in 'uncharted territory' as fire weather returns all next week,The Santa Rosa Press Democrat,19 hours ago · ,https://www.pressdemocrat.com/article/news/la-fire-weather-returns/,"After mostly calm winds over the weekend, fire weather is expected to return Monday, with the peak... "
Theatre writer describes experiencing LA wildfires,BBC ·  via AOL,5 hours ago · ,https://www.aol.com/theatre-writer-describes-experiencing-la-062553239.html,"The Palisades fire in LA began on 7 January [Reuters] About 82,400 Californians are under evacuation orders, according to the Los Angeles County Sheriff.... "
Navajo Nation firefighters battle wildfires in Los Angeles,WSB Radio,1 day ago · ,https://www.wsbradio.com/news/national/navajo-nation/325CXGTENBFJ5LT7BDWIHSBR7M/,It was the Navajo Scouts' eighth straight day battling the Eaton Fire outside Los Angeles and their assignment Friday morning was two-fold: restore vehicle access to the mountain on the outskirts ... 
What to know about the devastation from the Los Angeles-area fires,WCBD-TV Charleston,5 days ago · ,https://www.counton2.com/news/national-news/ap-what-to-know-about-wildfires-raining-embers-onto-the-los-angeles-area/,"LOS ANGELES (AP) — Fires tearing through the Los Angeles area have killed at least 24 people,... "
How many people are still missing in the Los Angeles fires?,LA Times ·  via AOL,2 days ago · ,https://www.aol.com/news/many-people-still-missing-los-011521734.html,"The Los Angeles Police Department's tally of those missing in the Palisades fire slightly differed,... "
What to know about the devastation from the Los Angeles-area fires,Alabama's 13,5 days ago · ,https://www.wvtm13.com/article/what-to-know-about-the-devastation-from-los-angeles-fires/63424235,"Fires burning homes and businesses in Los Angeles for a week have killed at least 24 people,... "
A ‘Particularly Dangerous Situation’ is forecast for fire-scarred Los Angeles...,WSYR 9 Syracuse,4 days ago · ,https://www.localsyr.com/news/national/ap-firefighters-prepare-for-increasing-gusts-following-brief-reprieve-for-la-area/,LOS ANGELES (AP) — Millions of Southern Californians were on edge as a final round of dangerous fire... 
"The Los Angeles Parks, Historic Sites, and Landmarks Affected by the Fires",Conde Nast Traveler ·  via Yahoo News,6 days ago · ,https://www.yahoo.com/news/los-angeles-parks-historic-sites-181012316.html?fr=sycsrp_catchall,"“The Palisades fire is one of the most destructive natural disasters in the history of Los Angeles,”... "
Opinion: Great writers on Los Angeles,WUSF 89.7,1 day ago · ,https://www.wusf.org/2025-01-18/opinion-great-writers-on-los-angeles,"Los Angeles has long been a kind of dreamscape, the city of the silver screen, on the edge of a great ocean, that draws in people from all over the... "
"Grammys and Oscars to proceed amid LA fires, but will put the spotlight on first...",CNN.com,16 hours ago · ,https://www.cnn.com/2025/01/13/entertainment/oscars-grammys-award-season-la-wildfires/index.html,"Some stars, like Jean Smart and Patricia Arquette, have called for award shows to be cancelled or... "
Los Angeles tree advocates hope their vital work recovers from devastating fires,KETK,7 days ago · ,https://www.ketk.com/news/national/ap-los-angeles-tree-advocates-wait-and-hope-that-fire-damage-wont-be-too-severe/,LOS ANGELES (AP) — Some people across Los Angeles have worked for years to increase the number of... 
Fire-scarred Los Angeles is under another rare warning as winds pick up,NewsWest 9,4 days ago · ,https://www.newswest9.com/article/news/nation-world/la-firefighters-face-uphill-battle-strong-winds/507-23f60a26-0379-4c06-af3d-f4d8283a00dc,"“This is really just the last push of these winds here today,"" Hall said. The Eaton Fire burning... "
"Climate change, high winds, extreme dry conditions the real reasons for Los...",Milwaukee Journal Sentinel ·  via Yahoo News,4 days ago · ,https://www.yahoo.com/news/climate-change-high-winds-extreme-110205744.html?fr=sycsrp_catchall,"From the reaction of some politicians, it's hard to gauge whether it's more important to address the... "
California officials warn against price gouging as rents soar in fire-stricken...,WTOP Washington,11 hours ago · ,https://wtop.com/national/2025/01/california-officials-warn-against-price-gouging-as-rents-soar-in-fire-stricken-los-angeles/,California Attorney General Rob Bonta said in a statement Saturday that it is illegal for landlords... 
"Victims of Los Angeles wildfires: A look at the people killed by Eaton,...",Los Angeles Daily News,1 day ago · ,https://www.dailynews.com/la-wildfire-victims/,"As friends and families grieve the loss of their grandmothers, friends, neighbors and other loved... "
Victims sue Los Angeles Department of Water and Power over Palisades Fire,NY Post ·  via AOL,4 days ago · ,https://www.aol.com/victims-sue-los-angeles-department-220255609.html,Residents of Pacific Palisades are suing the Los Angeles Department of Power and Water after the... 
